mat-no,price-per-unit,pieces-per-pack,suggested-mat-no,name,url,summary,variants-info,thumbnail,thumbnail-2x,vector,size,variant,category,colour,subtitle
907219,144,144,907219,Rose Flat Back,/Rose-Flat-Back-907219/p,22 variants,22 variants,/medias/907219-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w0MTM2fGltYWdlL3BuZ3xpbWFnZXMvaGRiL2hhYi84OTgyNjEwMzc4NzgyLnBuZ3w3YmUzY2I0NjcwMGRjZTNmMDlhZjg5MTdlMmM4NGJiZTVmNzcwZGFlZGRhNTI0YjJmMDQ2MGZkNDZmMWIwM2E0,/medias/907219-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMDQzNHxpbWFnZS9wbmd8aW1hZ2VzL2gzMi9oNmYvODk4MjYxMDUwOTg1NC5wbmd8ZTA2YTFlMmJlZjFlMWMzYzEzYjRhMWMyODg0MmZjZjM2MWNhNWY2NjFiOGQ4YmE3YmFkMTg0ZGJmMDg5MmE2Mg,/medias/907219-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w3MTA2fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g3YS9oYTcvODk4MjYxMTAwMTM3NC5zdmd8NGVlYTUzYTUwYTBjNjdmNzIxNGQ5ZmViMjg1NWU0YTc1ZWVkNDA5MmFlMzJhOTI1NTJiMTJhNTA1ZmMyMWE0Mg,7.17 mm SS 34,Caribbean Blue Opal/Aluminium Foiling,Flat Backs Hotfix,Caribbean Blue Opal,Rose Flat Back
880022,144,144,880022,Rose Flat Back,/Rose-Flat-Back-880022/p,22 variants,22 variants,/medias/880022-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wyMDA5fGltYWdlL3BuZ3xpbWFnZXMvaGU3L2g3Zi84OTgyNjA4ODcxNDU0LnBuZ3xmYzBkMjNlYTY0YThiMmRiY2EwNGNjNDM0MDAxNDUzOGI0N2MwNTY0MmVmNzhmZWU0YzRhNDY3Y2U4M2E2MDE3,/medias/880022-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w0MTUxfGltYWdlL3BuZ3xpbWFnZXMvaDFhL2g4Ny84OTgyNjA5MDAyNTI2LnBuZ3xmM2ZhYTMxM2VlMzk0MmJhYjJlYmI4NTc3NTRlMGE2NjMyNTU3NWRmYzhhYzY3OTE5MzIyM2ZjY2NmZjliNGM3,/medias/880022-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w3MTA2fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hhNS9oZTIvODk4MjYwOTQ5NDA0Ni5zdmd8MzhjN2M2M2MwYTg2OWI5ZTYzOTk0Y2VhNTk1NzRhZWJjMzYxMWZlMTUyYzkxZDlhNTFkMjFiNzU2NzQxM2M2Yw,7.17 mm SS 34,Chalkwhite/Aluminium Foiling,Flat Backs Hotfix,Chalkwhite,Rose Flat Back
1168248,144,144,1168248,Rose Flat Back,/Rose-Flat-Back-1168248/p,22 variants,22 variants,/medias/1168248-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w2Nzc4fGltYWdlL3BuZ3xpbWFnZXMvaDQ4L2g2OC84OTgyMTkyMTI4MDMwLnBuZ3xjM2ZkMTAyZTBhNWE0NTE0ZjViMmQyZjJhMGVkZWYwZjNkYzc5NDI0NjUwMWQ1YjgzYjI0NGE2MjI4Zjk1ZTg5,/medias/1168248-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxNzIzNHxpbWFnZS9wbmd8aW1hZ2VzL2g2Zi9oMjkvODk4MjE5MjI1OTEwMi5wbmd8N2MzZGY2MWU3YTVlMTRjYzNhNTc5ZGQ1ZWUzZDYwNzFiODY0NWEwOGRjOWUwNTU1ZmJjMzE4ZjE2YmMxOTAzMA,/medias/1168248-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w3MTA2fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g0YS9oN2UvODk4MjE5Mjc1MDYyMi5zdmd8OTllNzk2NzFmODlmYjMyMDM5YzAzZWYyOGM3MjllOTA5ODM4NGU2OWY0OTE0OWZmNjNkNGY1MmNiZDRkYTlmZg,7.17 mm SS 34,Crystal Blue Shade/Aluminium Foiling,Flat Backs Hotfix,Crystal Blue Shade,Rose Flat Back
5017849,144,144,5017849,Rose Flat Back,/Rose-Flat-Back-5017849/p,22 variants,22 variants,/medias/5017849-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w1ODk0fGltYWdlL3BuZ3xpbWFnZXMvaDA2L2g0My84OTgyMjAxODkyODk0LnBuZ3wxZmQ2NWNjYWQwOTljMWQ2NjVlN2EwYjE2MWY5OGY2YzQ1ODU4ZTBiNDMxMjhiNzI3Y2I2ZjVlMDFkZWM2NjBj,/medias/5017849-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMzYxMHxpbWFnZS9wbmd8aW1hZ2VzL2hmOC9oYjUvODk4MjIwMjAyMzk2Ni5wbmd8MjAzNWNkYWM5YTg2MmU4ZTQ4NzQwMWZlZjFhYmMzMzcwZWQzNDRjMTM2MWNmNTIzNzI5MjQxMjViZWIyOTkxNw,/medias/5017849-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w3MTA2fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hhNy9oYWQvODk4MjIwMjUxNTQ4Ni5zdmd8OTBlMmQ2NDk3YTQ0NTQ4YTc1YTU3NWQ5NzE0ZjFiMGVjNzA2YWUxMzIyNjUxMTNjMTgwNGJmNjJhOWUwNjY4OQ,7.17 mm SS 34,Crystal Lilac Shadow/Aluminium Foiling,Flat Backs Hotfix,Crystal Lilac Shadow,Rose Flat Back
667919,144,144,667919,Rose Flat Back,/Rose-Flat-Back-667919/p,22 variants,22 variants,/medias/667919-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wzMTY1fGltYWdlL3BuZ3xpbWFnZXMvaGU5L2hiOS84OTgyNTk3MTQwNTEwLnBuZ3xlOWE2NzhiOTg2MDQ2YzA2MjkxNjA0MzQ5NzRjZjE3OGY1MzQzMzZkZjY0OTlkMmVlODZhNzkyOGY4ZDQ1NWIw,/medias/667919-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w2NTE5fGltYWdlL3BuZ3xpbWFnZXMvaDBhL2hmYy84OTgyNTk3MjcxNTgyLnBuZ3wwZmU3NjdjNTJjYTA2MjZkMTJlODdmZjFmNWQ5M2I5Y2UwNzc4YTJhMWVmYWM2ZGFlY2UxMDdhNTE0Y2RmOTE5,/medias/667919-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w3MTA2fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hhZi9oYmMvODk4MjU5Nzc2MzEwMi5zdmd8NmI4MWRhZjRkMTUzMzFjMzgzNDQzMGExOGMyZmZjZjA1ZDZjZDg0MzQ3ZDlkOThhYTA0OGZjYjM2Y2NlNmI1OQ,7.17 mm SS 34,Crystal Metallic Blue/Aluminium Foiling,Flat Backs Hotfix,Crystal Metallic Blue,Rose Flat Back
845257,144,144,845257,Rose Flat Back,/Rose-Flat-Back-845257/p,22 variants,22 variants,/medias/845257-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w1ODA5fGltYWdlL3BuZ3xpbWFnZXMvaDRiL2g1Ni84OTgyNjA0NzA5OTE4LnBuZ3wwNDY3OTgzOWNkY2RhYjg0ZTI1ZmE3ZjIxMWUxZmE1ZDU2ZDlkMDgxZjY2MTk2ZTc5ZGM4YmJjMmM0ZDE0NTUz,/medias/845257-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMzUzMHxpbWFnZS9wbmd8aW1hZ2VzL2g2Ny9oNTIvODk4MjYwNDg0MDk5MC5wbmd8YmJjMWNjOTYzYjY2ZDg4MWMzYTQwNTFlNmIxZWZlNGUwMWE2YmE1ZTJiOGEyYmE4Zjk0YjA1OWI1NzJlZWQ4Nw,/medias/845257-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w3MTA2fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gwMC9oMDEvODk4MjYwNTMzMjUxMC5zdmd8NGE3MTVhYjc0ZTE5NzMyODQ1MWM0OTgxN2RiYzhjNDNkZTcyNWIxMmEyNTMxYmZkMzMzMmM0YmQ3Y2U5NzEzYg,7.17 mm SS 34,Purple Velvet/Aluminium Foiling,Flat Backs Hotfix,Purple Velvet,Rose Flat Back
1162194,144,144,1162194,Ringed Rose,/Ringed-Rose-1162194/p,2 variants,2 variants,/medias/1162194-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMTE5N3xpbWFnZS9wbmd8aW1hZ2VzL2g4Mi9oYjIvODkyNzIzNDQ5MDM5OC5wbmd8NzJhY2Y4ODlhYTJmMWY5YjlmMjUzNGQwMmU5MTI3NzhkMjhhNjgyNjM1OTRlNmI4NWE2NmYxNjYxZjExMzBmMw,/medias/1162194-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wzMzgzOHxpbWFnZS9wbmd8aW1hZ2VzL2g5ZC9oNmQvODkyNzIzNDU1NTkzNC5wbmd8NGJmZjA4MjQ4N2Q0MGQ4Mzg5Y2U5MTU0NWNkYzY3MGEyZjUwNGI2MDVmZmZiMzcxM2IxZWEwN2Q1MzQ5ODJjOA,/medias/1162194-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w3NjE4fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hhMi9oNzYvODkxOTgwMDI4MzE2Ni5zdmd8MjgxNzI0Yjk2MDI5YjBlYmMyNDJkZmRiYzcxYTlhOWI0NWNjZGQ1ZmIwMDc0MTVkYmExZjczMmZhYzEwY2Y3Ng,7.17 mm SS 34,Crystal/Silver Foiling,Flat Backs Hotfix,Crystal,Ringed Rose
1162214,144,144,1162214,Ringed Rose,/Ringed-Rose-1162214/p,2 variants,2 variants,/medias/1162214-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w4ODQxfGltYWdlL3BuZ3xpbWFnZXMvaDFlL2g4Zi84OTI3MjM1MDgwMjIyLnBuZ3wyYTZlMjZmM2ZmZmZjMzgzMWY3OGEwZGY5Zjc2MWNhZDMwMTVkY2EwYjhhODZjOTIzZmMyMzhmOTRlZWExNjFj,/medias/1162214-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyMzI0N3xpbWFnZS9wbmd8aW1hZ2VzL2gzZS9oMDAvODkyNzIzNTE0NTc1OC5wbmd8NDlhNzY0YzUzOTUxNWM0OWQ0ZTBhZTU5MWI3YjIxZjEwNjJmMDRhZDU3YTkzMDg2Njk1NGY3NWE5ZTM4NWZmNQ,/medias/1162214-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w3NjE4fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g2Yi9oYTQvODkxOTgwMDQxNDIzOC5zdmd8YzljY2UzNjlmYWE2MTBmYjZiODUyNDc3YzYwZTkzOTAyOTE0NzYxYTg1ZTgyZTU2YjliZjIzNWIxYjFjNzRiMA,7.17 mm SS 34,Jet Hematite/Silver Foiling,Flat Backs Hotfix,Jet Hematite,Ringed Rose
1125928,144,144,1125923,Cabochon,/Cabochon-1125923/p,3 sizes & 26 colors/effects,26 colors/effects,/medias/1125923-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w5NDM5fGltYWdlL3BuZ3xpbWFnZXMvaDRmL2hjZi84OTgyMTc0NzYwOTkwLnBuZ3xhZmRiOWJjM2FjNmI4NGNlODAyYjFmOGQzYjM4OThkNWZiNTA4NWFmYzliZDg4YTZmOGVhYjg0ZWI4Mzc2M2Vj,/medias/1125923-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyODk5MXxpbWFnZS9wbmd8aW1hZ2VzL2gyZC9oNzAvODk4MjE3NDg5MjA2Mi5wbmd8OTk3OGE3Y2E5Nzk2ZDIwZjE0NjRmOGMyMDQwYmQwNjQ4YzljNzQ5YWYwOGU1MzY5MzE5ZTAzMzMyNmVhNjBkNQ,/medias/1125923-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3w0MTYzfGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hkYi9oMzEvODk4MjE3NTM4MzU4Mi5zdmd8NWVkMWY5YzExMDA1NDg0MmM4Y2U0OTNjMjJjNDJkNTdlMmUwYmM3M2I4YTY4MzA1YjY5ZGNjOWEyMGJjZjBhYw,3.90 mm SS 16,Crystal Lavender Pearl/Unfoiled,Flat Backs Hotfix,Crystal Lavender Pearl,Cabochon
1188026,144,144,1188001,Pure Leaf Flat Back,/Pure-Leaf-Flat-Back-1188001/p,3 sizes & 4 colors/effects,4 colors/effects,/medias/1188001-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w1NjA1fGltYWdlL3BuZ3xpbWFnZXMvaDM0L2hlZC84OTI3NDMzNTU1OTk4LnBuZ3w5MGY2NDFlMzEyNzc3YThmODY5MTBmMzhjMjVlYzdiNmUzMTA0M2QxYTdhYzVjZDUxZjhjNGU0OGJjN2ZiNjhl,/medias/1188001-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMTgwNXxpbWFnZS9wbmd8aW1hZ2VzL2g5ZC9oODYvODkyNzQzMzYyMTUzNC5wbmd8YjAxNmNlNTFmMmNlMjlkMjgyYmNkNzVjYjM2YmEzYTA5Zjc5MTg3ZDk0ZGFlY2EwYWNiNGE4ZTMyMWZmZjVkZg,/medias/1188001-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wyOTA2fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g4MC9oNjkvODkxOTg5MDAwMTk1MC5zdmd8Y2RlZDI5Nzc0NGI3NmMwNmYwMmRkOTRmY2EwM2FmNjMxMTgwNTMwNDk5N2UwZWRkZTVhYTJhZGNmNWJlNDlkNg,6.00x4.80 mm,Jet/Aluminium Foiling,Flat Backs Hotfix,Jet,Pure Leaf Flat Back
1089435,144,144,1089435,Cosmic Flat Back,/Cosmic-Flat-Back-1089435/p,1 sizes & 1 colors/effects,1 colors/effects,/medias/1089435-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w3ODg3fGltYWdlL3BuZ3xpbWFnZXMvaDNiL2hiMS84OTI2ODUxODkxMjMwLnBuZ3w1ZTYwODM3YTJlMjdjY2MyOTgxMWQyZTFiZDY1MmFlZmFiOWI3NGFmM2ViOTkzM2NlNGY5MWY1ZTg0ZGYzODA4,/medias/1089435-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxOTM0NnxpbWFnZS9wbmd8aW1hZ2VzL2g1Yi9oMjIvODkyNjg1MTk1Njc2Ni5wbmd8NjVhM2Q0NGU4OWUwYjM3MmUwN2U2YzBiYmI2ZGJiNGVlMTYxNGVkYTY4MTFlNTNkODBmMjllYTJiZTJkYjE1Yw,/medias/1089435-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wyNDEyfGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gxZC9oMjUvODkxOTY2OTQwNzc3NC5zdmd8OWMwYmM4YjU5ZTAzN2IwYTc3NjQyMjNiODY4MzJlNTQyOWVmZjU3ZGZkZGVhN2VkMmE5NGZlMTE1MmJlZGQxNQ,10.00x8.00 mm,Crystal Copper/Aluminium Foiling,Flat Backs Hotfix,Crystal Copper,Cosmic Flat Back
